"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2014","19,340","19,740","19,960","19,300","8.99K","-2.42%"
"May 11, 2014","19,820","20,830","20,830","19,630","9.92K","-4.94%"
"May 04, 2014","20,850","21,330","21,450","20,830","10.12K","-2.07%"
"Apr 27, 2014","21,290","20,880","21,410","20,510","6.13K","1.91%"
"Apr 20, 2014","20,890","20,200","20,900","20,200","7.86K","3.78%"
"Apr 13, 2014","20,130","19,950","20,210","19,940","6.16K","1.56%"
"Apr 06, 2014","19,820","20,430","20,500","19,730","10.75K","-3.13%"
"Mar 30, 2014","20,460","20,350","20,610","20,190","10.69K","0.64%"
"Mar 23, 2014","20,330","20,760","20,810","20,160","7.93K","-1.93%"
"Mar 16, 2014","20,730","20,540","20,810","20,480","5.85K","1.07%"
"Mar 09, 2014","20,510","20,870","20,900","20,380","11.83K","-2.05%"
"Mar 02, 2014","20,940","20,180","20,990","20,140","19.72K","3.77%"
"Feb 23, 2014","20,180","20,690","20,780","20,130","9.38K","-2.65%"
"Feb 16, 2014","20,730","20,780","21,000","20,460","9.02K","0.44%"
"Feb 09, 2014","20,640","21,110","21,120","20,600","13.07K","-1.53%"
"Feb 02, 2014","20,960","20,610","21,130","20,520","14.77K","2.44%"
"Jan 26, 2014","20,460","20,510","20,650","20,220","4.29K","-0.39%"
"Jan 19, 2014","20,540","20,260","20,650","20,010","13.75K","1.38%"
"Jan 12, 2014","20,260","20,150","20,640","20,020","15.07K","0.45%"
"Jan 05, 2014","20,170","19,740","20,390","19,610","20.18K","1.71%"
"Dec 29, 2013","19,830","19,260","20,140","19,250","8.26K","3.39%"
"Dec 22, 2013","19,180","19,110","19,280","18,800","5.53K","0.31%"
"Dec 15, 2013","19,120","19,180","19,400","18,880","9.14K","-0.62%"
"Dec 08, 2013","19,240","18,650","19,350","18,500","11.04K","3.44%"
"Dec 01, 2013","18,600","18,340","18,850","18,340","9.50K","0.49%"
"Nov 24, 2013","18,510","18,700","19,080","18,210","10.37K","-1.39%"
"Nov 17, 2013","18,770","18,770","18,980","18,520","8.03K","-0.64%"
"Nov 10, 2013","18,890","19,010","19,380","18,840","7.18K","-0.42%"
"Nov 03, 2013","18,970","19,010","19,290","18,830","6.51K","-0.52%"
"Oct 27, 2013","19,070","20,970","21,440","19,040","4.39K","-7.96%"
"Oct 20, 2013","20,720","21,150","21,370","20,250","5.08K","-2.26%"
"Oct 13, 2013","21,200","21,530","21,560","20,860","4.82K","-1.44%"
"Oct 06, 2013","21,510","21,810","21,810","20,860","6.65K","-1.51%"
"Sep 29, 2013","21,840","21,620","22,100","21,480","8.00K","1.02%"
"Sep 22, 2013","21,620","20,510","21,810","20,470","11.18K","5.10%"
"Sep 15, 2013","20,570","21,150","21,350","20,540","7.09K","-2.93%"
"Sep 08, 2013","21,190","21,830","21,830","21,000","6.63K","-2.44%"
"Sep 01, 2013","21,720","22,420","22,980","21,340","9.63K","-3.12%"
"Aug 25, 2013","22,420","21,840","23,740","21,820","11.29K","3.22%"
"Aug 18, 2013","21,720","23,000","23,400","21,630","13.54K","-4.57%"
"Aug 11, 2013","22,760","20,950","22,760","20,710","9.78K","9.32%"
"Aug 04, 2013","20,820","19,880","20,960","19,880","7.15K","4.62%"
"Jul 28, 2013","19,900","19,450","19,950","19,270","4.66K","2.16%"
"Jul 21, 2013","19,480","19,620","19,750","19,000","4.17K","-0.31%"
"Jul 14, 2013","19,540","19,710","19,770","19,140","5.19K","-0.86%"
"Jul 07, 2013","19,710","19,940","20,150","19,610","6.26K","-0.90%"
"Jun 30, 2013","19,890","19,750","19,920","19,190","7.04K","3.16%"
"Jun 23, 2013","19,280","19,300","19,640","19,250","5.36K","-0.46%"
"Jun 16, 2013","19,370","19,360","19,440","18,940","5.68K","-0.36%"
"Jun 09, 2013","19,440","19,010","19,500","18,920","7.70K","2.32%"
"Jun 02, 2013","19,000","18,670","19,040","18,530","6.18K","3.04%"
"May 26, 2013","18,440","17,970","18,480","17,960","3.20K","2.62%"
"May 19, 2013","17,970","17,970","18,110","17,760","4.45K","0.17%"
"May 12, 2013","17,940","18,080","18,100","17,850","4.14K","-1.16%"
"May 05, 2013","18,150","18,270","18,270","17,900","7.20K","-0.27%"
"Apr 28, 2013","18,200","17,850","18,260","17,780","5.54K","2.36%"
"Apr 21, 2013","17,780","17,840","18,030","17,270","6.35K","-1.00%"
"Apr 14, 2013","17,960","19,040","19,050","17,730","9.14K","-5.02%"
"Apr 07, 2013","18,910","18,910","19,180","18,670","9.81K","-0.94%"
